BookID,UserID,score
3404148665,167166,1.4146987960680646
3455025013,167166,1.4146987960680646
3453041860,167166,1.2575100409493907
3442452864,167166,0.7859437755933691
0965145859,167166,0.0
0590303562,167166,0.0
0345340124,167166,0.0
8821544982,167166,0.0
055317231X,167166,0.0
2841110664,167166,0.0
0965145859,116060,0.0
0590303562,116060,0.0
0345340124,116060,0.0
8821544982,116060,0.0
055317231X,116060,0.0
2841110664,116060,0.0
0807234974,116060,0.0
0679744355,116060,0.0
0550100156,116060,0.0
0884961109,116060,0.0
0590457225,265254,1.1717997824870472
0786810998,265254,0.7905694150420949
043935806X,265254,0.7905694150420949
0439136369,265254,0.7905694150420949
0440227496,265254,0.7905694150420949
0618260250,265254,0.7905694150420949
0345296044,265254,0.7905694150420949
0618126988,265254,0.7905694150420949
0671021001,265254,0.7208539969983191
0140053204,265254,0.7208539969983191
0965145859,41058,0.0
0590303562,41058,0.0
0345340124,41058,0.0
8821544982,41058,0.0
055317231X,41058,0.0
2841110664,41058,0.0
0807234974,41058,0.0
0679744355,41058,0.0
0550100156,41058,0.0
0884961109,41058,0.0
0345348036,134157,0.6350006350009525
0140620222,134157,0.6350006350009525
0441068804,134157,0.6058288058601454
0441328091,134157,0.5856627606902106
0964961520,134157,0.5792844463634923
0943233828,134157,0.5792844463634923
0064400980,134157,0.5792844463634923
0345369947,134157,0.5715005715008573
0061059064,134157,0.5715005715008573
0385603401,134157,0.5715005715008573
0425172260,39027,4.618802153517007
0446670111,39027,4.47213595499958
067176781X,39027,4.47213595499958
0374516812,39027,4.024922359499621
1880985101,39027,3.5777087639996634
0393309282,39027,3.4641016151377553
1840680601,39027,2.23606797749979
0140098224,39027,2.121320343559643
0451167716,39027,1.5500340116100721
076790592X,39027,1.2803687993289596
0965145859,175761,0.0
0590303562,175761,0.0
0345340124,175761,0.0
8821544982,175761,0.0
055317231X,175761,0.0
2841110664,175761,0.0
0807234974,175761,0.0
0679744355,175761,0.0
0550100156,175761,0.0
0884961109,175761,0.0
0965145859,257520,0.0
0590303562,257520,0.0
0345340124,257520,0.0
8821544982,257520,0.0
055317231X,257520,0.0
2841110664,257520,0.0
0807234974,257520,0.0
0679744355,257520,0.0
0550100156,257520,0.0
0884961109,257520,0.0
0965145859,175002,0.0
0590303562,175002,0.0
0345340124,175002,0.0
8821544982,175002,0.0
055317231X,175002,0.0
2841110664,175002,0.0
0807234974,175002,0.0
0679744355,175002,0.0
0550100156,175002,0.0
0884961109,175002,0.0
0140266909,173453,4.47213595499958
0345377702,173453,3.5777087639996634
0099433826,173453,3.5
0834800799,173453,2.6832815729997477
0060830956,173453,2.5013526791101546
0345337662,173453,2.29557333839595
0345417127,173453,2.23606797749979
0316769487,173453,2.2281354693048203
0061073628,173453,2.0124611797498106
2253140872,173453,2.0124611797498106
0679746048,106456,0.7844129209191628
0446310786,106456,0.6223354067655422
0385502532,106456,0.5568743799671485
0515093556,106456,0.5488212999484517
0671894455,106456,0.5488212999484517
055321313X,106456,0.5488212999484517
052594527X,106456,0.5488212999484517
044100945X,106456,0.5488212999484517
0441006132,106456,0.5488212999484517
0062502174,106456,0.5488212999484517
0316769487,161244,5.196152422706633
0812572386,161244,4.949747468305832
0201539926,161244,4.041451884327381
0965145859,161244,0.0
0590303562,161244,0.0
0345340124,161244,0.0
8821544982,161244,0.0
055317231X,161244,0.0
2841110664,161244,0.0
0807234974,161244,0.0
3250600555,46130,3.333333333333333
0451186923,46130,3.0237157840738176
3518405519,46130,2.6666666666666665
0553282980,46130,2.6666666666666665
3453867629,46130,2.6666666666666665
1551660717,46130,2.6457513110645903
0446356875,46130,2.5
0446603104,46130,2.5
0446611808,46130,2.5
0156006219,46130,2.4961508830135313
0393308812,162616,7.071067811865475
0553012932,162616,5.196152422706633
0679745203,162616,0.7797225419241984
0515103292,162616,0.7332355751067665
0804116970,162616,0.6711560552140243
0380002930,162616,0.6711560552140243
0060975547,162616,0.6711560552140243
